DATE,REGION,DESCRIPTION,PUBLIC_HOLIDAY,SPORTS_EVENT
2019-06-10,VIC,Queens Birthday,1,0
2019-06-03,WA ,Western Australia Day,1,0
2019-06-05,ALL,State of Origin 1st Match,0,1
2019-05-12,ALL,Mothers Day,0,0
2019-05-06,QLD,Labour Day,1,0
2019-04-25,ALL,ANZAC Day,1,0
2019-06-30,ALL,Logie Awards,0,0
2019-04-22,ALL,Easter Monday,1,0
2019-04-21,ALL,Easter Sunday,1,0
2019-04-20,ALL,Easter Saturday,1,0
2019-04-19,ALL,Good Friday,1,0
2019-03-11,SA ,Adelaide Cup,1,0
2019-03-11,VIC,Labour Day,1,0
2019-03-04,WA ,Labour Day,1,0
2019-02-24,ALL,Academy Awards,0,0
2019-01-27,ALL,Australian Open Mens Final,0,1
2019-01-26,ALL,Australian Open Womens Final,0,1
2019-01-26,ALL,Australia Day,1,0
2019-01-01,ALL,New Years Day,1,0
2018-12-31,ALL,New Years Eve,0,0
2018-12-26,ALL,Boxing Day,1,0
2018-12-25,ALL,Christmas Day,1,0
2018-11-06,VIC,Melbourne Cup Holiday,1,1
2018-11-06,NSW,Melbourne Cup,0,1
2018-11-06,QLD,Melbourne Cup,0,1
2018-11-06,SA ,Melbourne Cup,0,1
2018-11-06,WA ,Melbourne Cup,0,1
2018-10-07,ALL,V8 Supercars: Bathurst,0,1
2018-10-01,NSW,Labour Day,1,0
2018-10-01,QLD,Queens Birthday,1,0
2018-10-01,SA ,Labour Day,1,0
2018-09-30,ALL,NRL Grand Final,0,1
2018-09-29,NSW,AFL Grand Final,0,1
2018-09-29,VIC,AFL Grand Final,0,1
2018-09-29,QLD,AFL Grand Final,0,1
2018-09-29,SA ,AFL Grand Final,0,1
2018-09-29,WA ,AFL Grand Final,0,1
2018-09-28,VIC,AFL Grand Final Public Holiday,1,0
2018-09-24,VIC,Brownlow Medal ,0,0
2018-09-24,WA ,Queens Birthday,1,0
2018-09-02,ALL,Fathers Day,0,0
2018-10-20,ALL,Bledisoe Cup Game 3,0,1
2018-08-25,ALL,Bledisoe Cup Game 2,0,1
2018-08-18,ALL,Bledisoe Cup Game 1,0,1
2018-08-15,QLD,Royal Queensland Day,1,0
2018-07-11,ALL,State of Origin 3rd Match,0,1
2018-06-20,ALL,State of Origin 2nd Match,0,1
2018-06-11,NSW,Queens Birthday,1,0
2018-06-11,SA ,Queens Birthday,1,0
2018-06-11,VIC,Queens Birthday,1,0
2018-06-04,WA ,Western Australia Day,1,0
2018-05-30,ALL,State of Origin 1st Match,0,1
2018-05-13,ALL,Mothers Day,0,0
2018-05-07,QLD,Labour Day,1,0
2018-04-25,ALL,ANZAC Day,1,0
2018-07-01,ALL,Logie Awards,0,0
2018-04-02,ALL,Easter Monday,1,0
2018-04-01,ALL,Easter Sunday,1,0
2018-03-31,ALL,Easter Saturday,1,0
2018-03-30,ALL,Good Friday,1,0
2018-03-12,SA ,Adelaide Cup,1,0
2018-03-12,VIC,Labour Day,1,0
2018-03-05,WA ,Labour Day,1,0
2018-03-04,ALL,Academy Awards,0,0
2018-01-28,ALL,Australian Open Mens Final,0,1
2018-01-27,ALL,Australian Open Womens Final,0,1
2018-01-26,ALL,Australia Day,1,0
2018-01-01,ALL,New Years Day,1,0
2017-12-31,ALL,New Years Eve,0,0
2017-12-26,ALL,Boxing Day,1,0
2017-12-25,ALL,Christmas Day,1,0
2017-11-07,VIC,Melbourne Cup Holiday,1,1
2017-11-07,NSW,Melbourne Cup,0,1
2017-11-07,QLD,Melbourne Cup,0,1
2017-11-07,SA ,Melbourne Cup,0,1
2017-11-07,WA ,Melbourne Cup,0,1
2017-10-08,ALL,V8 Supercars: Bathurst,0,1
2017-10-02,NSW,Labour Day,1,0
2017-10-02,QLD,Queens Birthday,1,0
2017-10-02,SA ,Labour Day,1,0
2017-10-01,ALL,NRL Grand Final,0,1
2017-09-30,NSW,AFL Grand Final,0,1
2017-09-30,VIC,AFL Grand Final,0,1
2017-09-30,QLD,AFL Grand Final,0,1
2017-09-30,SA ,AFL Grand Final,0,1
2017-09-30,WA ,AFL Grand Final,0,1
2017-09-29,VIC,AFL Grand Final Public Holiday,1,0
2017-09-25,VIC,Brownlow Medal ,0,0
2017-09-25,WA ,Queens Birthday,1,0
2017-09-03,ALL,Fathers Day,0,0
2017-10-21,ALL,Bledisoe Cup Game 3,0,1
2017-08-26,ALL,Bledisoe Cup Game 2,0,1
2017-08-19,ALL,Bledisoe Cup Game 1,0,1
2017-08-16,QLD,Royal Queensland Day,1,0
2017-07-12,ALL,State of Origin 3rd Match,0,1
2017-06-21,ALL,State of Origin 2nd Match,0,1
2017-06-12,NSW,Queens Birthday,1,0
2017-06-12,SA ,Queens Birthday,1,0
2017-06-12,VIC,Queens Birthday,1,0
2017-06-05,WA ,Western Australia Day,1,0
2017-05-31,ALL,State of Origin 1st Match,0,1
2017-05-14,ALL,Mothers Day,0,0
2017-05-01,QLD,Labour Day,1,0
2017-04-25,ALL,ANZAC Day,1,0
2017-04-23,ALL,Logie Awards,0,0
2017-04-17,ALL,Easter Monday,1,0
2017-04-16,ALL,Easter Sunday,1,0
2017-04-15,ALL,Easter Saturday,1,0
2017-04-14,ALL,Good Friday,1,0
2017-03-13,SA ,Adelaide Cup,1,0
2017-03-13,VIC,Labour Day,1,0
2017-03-06,WA ,Labour Day,1,0
2017-02-26,ALL,Academy Awards,0,0
2017-01-29,ALL,Australian Open Mens Final,0,1
2017-01-28,ALL,Australian Open Womens Final,0,1
2017-01-26,ALL,Australia Day,1,0
2017-01-01,ALL,New Years Day,1,0
2016-12-31,ALL,New Years Eve,0,0
2016-12-26,ALL,Boxing Day,1,0
2016-12-25,ALL,Christmas Day,1,0
